Property reference number,Address,Postcode,Latitude,Longitude,Ratepayer,Billing Address,Rateable value,VOA code,VOA Description,Liability start date,Reliefs Granted,Discretionary Relief %,Discretionary Relief St Date,Mandatory Relief %,Mandatory Relief Start Date,Exemption_Granted,Exemption Start Date,Empty Rates,Empty Rates Start Date,Full Sbr,Buffer Sbr,Lower Multiplier,Occupied,Empty from
64376713,"Unit 1, Brow Mills, Brighouse Road, Hipperholme          HX3 8EF",HX3 8EF,53.7201,-1.81069,Label Pak Ltd,,4550,W027,Workshop And Premises,2007-07-01,SBR,,,,,,,,,Y,,,Y,
64376726,"Adj Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,,,3900,W027,Workshop And Premises,2002-04-01,SBR,,,,,,,,,Y,,,Y,
64376728,"Telecommunications Mast, Site Ref 15864 Brow Mills, Brighouse Road, Halifax              HX3 8DD",HX3 8DD,53.71853,-1.8078,Telefonica Uk Ltd,"C/O Colliers International, 12th Floor, Eleven Brindleypla, 2 Brunswick Square, Brindleyplace, Birmingham, B1 2LP",7400,C103,Communication Station and Premises,2018-04-01,SBR,,,,,,,,,,,Y,Y,
64376732,"Unit 12, Brow Mills Industrial Estate, Brighouse Road, Hipperholme          HX3 8EF",HX3 8EF,53.7201,-1.81069,Keswickton Securities Ltd,"Unit 12, Brow Mills Industrial Estate, Brighouse Road, Hipperholme, HX3 8DD",6300,O027,Offices and Premises,2007-07-01,SBR,,,,,,,,,Y,,,Y,
64376734,"Advertising Right, On Bus Shelter 0702 0129, Brighouse Road, Hipperholme          HX3 8EB",HX3 8EB,53.72443,-1.81243,Clear Channel (Uk) Ltd,"Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",450,A028,Advertising Right and Premises,2008-04-01,SBR,,,,,,,,,,,Y,Y,
64376735,"Unit 3 Brow Mills Ind Estate, Brighouse Road, Hipperholme, Halifax              HX3 8DD",HX3 8DD,53.71853,-1.8078,Dyson Manufacturing Ltd,,9400,W027,Workshop And Premises,2018-02-01,SBR,,,,,,,,,Y,,,Y,
64376736,"Unit 4 Brow Mills Ind Esate, Brighouse Road, Hipperholme, Halifax              HX3 8DD",HX3 8DD,53.71853,-1.8078,Mitchell Mould Service Ltd,"Units 4, Brow Mills Industrial Estate, Brighouse Road, Hipperholme, HX3 8EF",9300,W027,Workshop And Premises,2008-07-01,SBR,,,,,,,,,Y,,,Y,
64376738,"Hillcrest House, Brow Mills Industrial Estate, Brighouse Road, Hipperholme",HX3 8EF,53.7201,-1.81069,Quantum Exhibitions Ltd,"Hillcrest House, Brow Mills Industrial Estate, Hipperholme, Halifax, HX3 8EF",26500,W027,Workshop And Premises,2017-04-01,,,,,,,,,,,,,Y,
64376742,"Unit 2 Brow Mills Ind Estate, Brighouse Road, Hipperholme, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,Quantum Exhibitions Ltd,"Hillcrest House, Brow Mills Industrial Estate, Hipperholme, Halifax, HX3 8EF",6300,W004,Warehouse And Premises,2017-07-01,SBR,,,,,,,,,,,Y,Y,
64376743,"Unit 5 Brow Mills Ind Estate, Brighouse Road, Hipperholme, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,Emergent Crown Contract Office Furnishing Ltd,,11000,W004,Warehouse And Premises,2012-09-01,SBR,,,,,,,,,,,Y,Y,
64376744,"Unit 6 Brow Mills Ind Estate, Brighouse Road, Hipperholme, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,R S Saw & Tool Ltd,"Unit 6 Brow Mills Ind Estate, Brighouse Road, Hipperholme, Halifax, HX3 8EF",14750,W004,Warehouse And Premises,2014-11-01,SBR,,,,,,,,,,,Y,Y,
64376745,"Units 7&8 Brow Mills Ind Est, Brighouse Road, Hipperholme, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,Total Meat Supplies Ltd,,25000,W004,Warehouse And Premises,2011-03-01,SBR,,,,,,,,,,,Y,Y,
64376748,"Units 1/2 Hillcrest Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,N And J Fabs Ltd,,31000,F024,Factory and Premises,2018-04-04,SBR,,,,,,,,,,,Y,Y,
64376749,"T Mobile (53278), Southedge Works, Brighouse Road, Hipperholme          HX3 8EF",HX3 8EF,53.7201,-1.81069,Mobile Broadband Network Ltd,"C/O Avison Young, Po Box 6079, Wolverhampton, WV1 9RA",12000,C103,Communication Station and Premises,2010-04-01,SBR,,,,,,,,,,,Y,Y,
