Property reference number,Address,Postcode,Latitude,Longitude,Ratepayer,Billing Address,Rateable value,VOA code,VOA Description,Liability start date,Reliefs Granted,Discretionary Relief %,Discretionary Relief St Date,Mandatory Relief %,Mandatory Relief Start Date,Exemption_Granted,Exemption Start Date,Empty Rates,Empty Rates Start Date,Full Sbr,Buffer Sbr,Lower Multiplier,Occupied,Empty from
68168045,"45 Oxford Lane, Siddal, Halifax, HX3 9BJ",HX3 9BJ,53.70715,-1.8505,,,8700,L018,Launderette And Premises,2013-07-08,SBR,,,,,,,,,Y,,,Y,
68168050,"50 Oxford Lane, Siddal, Halifax, HX3 9BJ",HX3 9BJ,53.70715,-1.8505,,,4350,S167,Shop and Premises,2013-08-10,SBR,,,,,,,,,Y,,,Y,
68168054,"54 Oxford Lane, Siddal, Halifax, HX3 9BJ",HX3 9BJ,53.70715,-1.8505,,,1950,S167,Shop and Premises,2012-07-13,SBR,,,,,,,,,Y,,,Y,
68168056,"56 Oxford Lane, Siddal, Halifax, HX3 9BJ",HX3 9BJ,53.70715,-1.8505,,,1875,S167,Shop and Premises,2016-08-28,SBR,,,,,,,,,Y,,,Y,
68168058,"58 Oxford Lane, Siddal, Halifax, HX3 9BJ",HX3 9BJ,53.70715,-1.8505,,,1550,S167,Shop and Premises,1990-04-01,SBR,,,,,,,,,Y,,,Y,
68168115,"115 Oxford Lane, Siddal, Halifax, HX3 9BJ",HX3 9BJ,53.70715,-1.8505,,,2800,S167,Shop and Premises,2017-08-19,SBR,,,,,,,,,Y,,,Y,
68168117,"The Surgery, 117 Oxford Lane, Siddal, Halifax             HX3 9DG",HX3 9DG,53.7058,-1.84882,,,7300,S151,Surgery And Premises,1990-04-12,SBR,,,,,,,,,,,Y,Y,
68168704,"Siddal Place Hotel, Oxford Lane, Siddal, Halifax             HX3 9BJ",HX3 9BJ,53.70715,-1.8505,,,4000,P056,Public House and Premises,2017-07-02,SBR,,,,,,,,,Y,,,Y,
68168706,"98a Oxford Lane, Siddal, Halifax, HX3 9BJ",HX3 9BJ,53.70715,-1.8505,,,6500,S167,Shop and Premises,2006-10-23,SBR,,,,,,,,,Y,,,Y,
68172701,"West End Golf Club, Paddock Lane, Halifax, HX2 0NT",HX2 0NT,53.72662,-1.90837,West End Golf Club (Hx) Ltd,,43000,G025,Golf Course And Premises,1990-04-01,DRR MAR,100,2020-04-01,80,2010-06-30,,,,,,,,Y,
68172702,"Telecommunication Mast, Site Ref  HX0028, Paddock Lane, Halifax              HX2 0NT",HX2 0NT,53.72662,-1.90837,Mobile Broadband Network Ltd,"C/O Avison Young, Po Box 6079, Wolverhampton, WV1 9RA",5800,C103,Communication Station and Premises,2009-09-10,SBR,,,,,,,,,,,Y,Y,
68176700,"Cemetery Lodge, Paradise Lane, Warley, Halifax             HX2 7SH",HX2 7SH,53.71927,-1.92139,,,970,C092,Cricket Ground And Premises,1990-04-01,SBR,,,,,,,,,Y,,,Y,
68180700,"Car Park, Haugh Shaw Road West, Halifax, HX1 3LE",HX1 3LE,53.71585,-1.87606,Calderdale Mbc,"Calderdale Mbc, Cafm Regen & Strategy, Princess Buildings, Princess Street, Halifax, HX1 1TP",4500,C105,Car Park and Premises,1990-04-01,SBR,,,,,,,,,,,Y,Y,
68184700,"Car Park, Paradise Street, Halifax, HX1 4LW",HX1 4LW,53.72255,-1.88228,Calderdale Mbc,"Regeneration And Development, Parking Services, Mulcture House, Mulcture Hall Road, Halifax, HX1 1SP",24250,C105,Car Park and Premises,2003-04-01,SBR,,,,,,,,,,,Y,Y,
68188700,"The Shears Inn, 1 Paris Gates, Halifax, HX3 9EZ",HX3 9EZ,53.71329,-1.85426,Shears Inn Ltd,,17000,P056,Public House and Premises,2018-10-01,DRR SBR DBR,100,2020-04-01,,,,,,,,,Y,Y,
68190156,"Ground Floor, 156 Park Dene, Hopwood Lane, Halifax              HX1 4DF",HX1 4DF,53.72094,-1.87918,,,2025,B013,Beauty Salon And Premises,2016-01-01,SBR,,,,,,,,,Y,,,Y,
68190160,"160 Park Dene, Hopwood Lane, Halifax, HX1 4DF",HX1 4DF,53.72094,-1.87918,,,2050,S167,Shop and Premises,1995-04-01,SBR,,,,,,,,,Y,,,Y,
68192021,"21/23 Park Drive, Rochdale Road, Halifax, HX2 7NP",HX2 7NP,53.71515,-1.89964,,,22250,S167,Shop and Premises,1999-11-02,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68192703,"Atm Site, 21/23 Park Drive, Halifax, HX2 7NP",HX2 7NP,53.71515,-1.89964,Sainsbury's Bank Plc,"C/O Cbre Corporate Outsourcing Ltd, 55 Temple Row, Brimingham, B2 5LS",3750,S078,Site Of Atm And Premises,2010-04-01,SBR,,,,,,,,,,,Y,Y,
68196002,"2 Park Lane, Siddal, Halifax, HX3 9ED",HX3 9ED,53.70031,-1.85075,,,7600,S167,Shop and Premises,2003-08-31,SBR,,,,,,,,,Y,,,Y,
68196701,"Siddal Cricket Club, Park Lane, Siddal, Halifax             HX3 9LE",HX3 9LE,53.7008,-1.84828,,,13000,S318,Sports Club and Premises,1990-04-01,SBR DRR,100,2020-04-01,,,,,,,,Y,,Y,
68208006,"5/6 Park Road, Halifax, HX1 2TS",HX1 2TS,53.71982,-1.87043,,,35000,O027,Offices and Premises,2015-06-06,EX,,,,,Listed Building,2015-09-06,,,,,,N,2015-09-06
68208704,"7 Park Road, Halifax, HX1 2TS",HX1 2TS,53.71982,-1.87043,,,11500,S151,Surgery And Premises,2005-04-01,EX,,,,,Listed Building,2016-05-31,,,,,,N,2016-05-31
68212700,"Windmill Tavern, Park Square, Hough, Northowram           HX3 7BZ",HX3 7BZ,53.73489,-1.83077,Windmill Taverns 2019 Ltd,,9700,P056,Public House and Premises,2019-03-29,SBR,,,,,,,,,Y,,,Y,
68220005,"7 Park View, Stainland, Halifax, HX4 9HJ",HX4 9HJ,53.67213,-1.88151,,,2800,S167,Shop and Premises,1997-09-29,SBR,,,,,,,,,Y,,,Y,
68224003,"3 Parkinson Lane, Halifax, HX1 3XA",HX1 3XA,53.71852,-1.87467,Whitecross Dental Care Ltd,"Europa House, Europa Trading Estate, Stoneclough Road, Kearsley, Manchester, M26 1GG",5600,S151,Surgery And Premises,2009-09-01,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68224044,"44 Parkinson Lane, Halifax, HX1 3XL",HX1 3XL,53.71847,-1.87916,,,2700,S167,Shop and Premises,2013-06-01,SBR,,,,,,,,,Y,,,Y,
68224046,"46 Parkinson Lane, Halifax, HX1 3XL",HX1 3XL,53.71847,-1.87916,,,4600,S167,Shop and Premises,1990-10-13,SBR,,,,,,,,,Y,,,Y,
68224086,"86 Parkinson Lane, Halifax, HX1 3QH",HX1 3QH,53.7178,-1.88401,,,3450,S167,Shop and Premises,2011-08-11,SBR,,,,,,,,,Y,,,Y,
68224090,"90 Parkinson Lane, Halifax, HX1 3QH",HX1 3QH,53.7178,-1.88401,,,2325,S167,Shop and Premises,2011-12-02,EX,,,,,Rateable Value below threshold,2011-12-02,,,,,,N,2011-12-02
68224094,"94 Parkinson Lane, Halifax, HX1 3QH",HX1 3QH,53.7178,-1.88401,,,4150,L018,Launderette And Premises,2013-03-01,SBR,,,,,,,,,Y,,,Y,
68224098,"98 Parkinson Lane, Halifax, HX1 3QH",HX1 3QH,53.7178,-1.88401,,,2900,S167,Shop and Premises,2017-04-10,SBR,,,,,,,,,Y,,,Y,
68224117,"117 Parkinson Lane, Halifax, HX1 3QQ",HX1 3QQ,53.71746,-1.88418,H.Bottomley [Tv] Ltd,,2250,S167,Shop and Premises,2003-01-22,SBR,,,,,,,,,Y,,,Y,
68224129,"129 Parkinson Lane, Halifax, HX1 3QQ",HX1 3QQ,53.71746,-1.88418,,,8100,S167,Shop and Premises,2002-10-18,SBR,,,,,,,,,Y,,,Y,
68224131,"131 Parkinson Lane, Halifax, HX1 3RD",HX1 3RD,53.71737,-1.8864,Metaldyne International [Uk] Ltd,,84500,O027,Offices and Premises,1997-07-01,,,,,,,,,,,,,Y,
68224170,"170 Parkinson Lane, Halifax, HX1 3UB",HX1 3UB,53.71774,-1.88619,,,4200,S167,Shop and Premises,2019-11-27,SBR,,,,,,,,,Y,,,Y,
68224172,"172 Parkinson Lane, Halifax, HX1 3UB",HX1 3UB,53.71774,-1.88619,,,2550,S167,Shop and Premises,2015-01-25,SBR,,,,,,,,,Y,,,Y,
68224702,"Fenton Green, Parkinson Lane, Halifax, HX1 3XA",HX1 3XA,53.71852,-1.87467,Calderdale Mbc,"Housing & Environment Services, 1st Floor Northgate House, Northgate, Halifax, HX1 1UN",3000,C016,Car Park,2010-04-01,SBR,,,,,,,,,,,Y,Y,
68224703,"Longfield Works, Parkinson Lane, Halifax, HX1 3UB",HX1 3UB,53.71774,-1.88619,Metaldyne International [Uk] Ltd,,41250,F024,Factory and Premises,1997-07-01,SBR,,,,,,,,,,,Y,Y,
68224705,"Parkinson Lane J & I School, Parkinson Lane, Halifax, HX1 3XL",HX1 3XL,53.71847,-1.87916,Parkinson Lane J & I School,,70500,S164,School and Premises,1996-04-01,,,,,,,,,,,,,Y,
68224708,"48 Parkinson Lane, Halifax, HX1 3XL",HX1 3XL,53.71847,-1.87916,,,2550,S167,Shop and Premises,2016-04-06,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68224717,"Parkinson Lane Nursery, Parkinson Lane, Halifax, HX1 3XL",HX1 3XL,53.71847,-1.87916,Halifax Opportunities Trust,"Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",7400,C070,Community Centre And Premises,2009-04-01,MCR DCR,18,2020-04-01,80,2009-04-01,,,,,,,,Y,
68224734,"163 Parkinson Lane, Halifax, HX1 3RA",HX1 3RA,53.7177,-1.88746,,,5100,S167,Shop and Premises,2018-04-23,SBR,,,,,,,,,Y,,,Y,
68224735,"Adj 35 Parkinson Lane, Halifax, HX1 3XA",HX1 3XA,53.71852,-1.87467,,,840,S167,Shop and Premises,2016-12-15,SBR,,,,,,,,,Y,,,Y,
68224736,"West End Works, Parkinson Lane, Halifax, HX1 3UW",HX1 3UW,53.71825,-1.88963,R E Dickie Ltd,"West End Works, Parkinson Lane, Halifax, HX1 3UW",58000,F024,Factory and Premises,2015-04-01,,,,,,,,,,,,,Y,
68224737,"Rear Bay, 33 Longfield Works, Parkinson Lane, Halifax              HX1 3UB",HX1 3UB,53.71774,-1.88619,Metaldyne International [Uk] Ltd,,21000,F024,Factory and Premises,2018-01-02,SBR,,,,,,,,,,,Y,Y,
68224738,"Front Bay, 33 Longfield Works, Parkinson Lane, Halifax              HX1 3UB",HX1 3UB,53.71774,-1.88619,Big Padlock (Self Storage) Limited,"Registered Office, 20 Park Avenue, Farnborough Park, Orpington, BR6 8LL",31250,F024,Factory and Premises,2018-09-18,SBR,,,,,,,,,,,Y,Y,
68232701,"Pear Street, Halifax, HX1 3UA",HX1 3UA,53.7189,-1.88676,,,1000,G009,Garage And Premises,2005-09-17,EX,,,,,Rateable Value below threshold,2005-12-17,,,,,,N,2005-12-17
68232703,"Northern Filter Supplies, Pear Street, Halifax, HX1 3UA",HX1 3UA,53.7189,-1.88676,,,4550,W004,Warehouse And Premises,1990-04-01,SBR,,,,,,,,,Y,,,Y,
68232706,"Unit U1, Pear Street, Halifax, HX1 3UA",HX1 3UA,53.7189,-1.88676,,,2050,S123,Store And Premises,2007-04-01,EX,,,,,Rateable Value below threshold,2007-07-01,,,,,,N,2007-07-01
68232707,"Unit U2, Pear Street, Halifax, HX1 3UA",HX1 3UA,53.7189,-1.88676,,,2550,W027,Workshop And Premises,2011-04-01,SBR,,,,,,,,,Y,,,Y,
68232708,"Unit U3, Pear Street, Halifax, HX1 3UA",HX1 3UA,53.7189,-1.88676,,,1825,S123,Store And Premises,2003-04-01,EX,,,,,Rateable Value below threshold,2007-04-01,,,,,,N,2007-04-01
68232710,"Unit B1, 49 Pear Street, Halifax, HX1 3UA",HX1 3UA,53.7189,-1.88676,,,2200,W027,Workshop And Premises,2005-09-17,EX,,,,,Rateable Value below threshold,2007-04-01,,,,,,N,2007-04-01
68232711,"Unit B2, 49 Pear Street, Halifax, HX1 3UA",HX1 3UA,53.7189,-1.88676,,,2950,W027,Workshop And Premises,2017-09-01,SBR,,,,,,,,,Y,,,Y,
68232713,"Unofficial Address, Workshop, R/O 49 Pear Street, Halifax              HX1 3UA",HX1 3UA,53.7189,-1.88676,Mr Anthony Porter,"49 Pear Street, Halifax, HX1 3UA",9900,W027,Workshop And Premises,2016-04-01,SBR,,,,,,,,,Y,,,Y,
68232714,"U/Off Add Warehouse, R/O 49 Pear Street, Halifax, HX1 3UA",HX1 3UA,53.7189,-1.88676,,,8300,W004,Warehouse And Premises,2017-04-01,SBR,,,,,,,,,Y,,,Y,
68236010,"10 Pellon Lane, Halifax, HX1 5SP",HX1 5SP,53.72417,-1.86436,,,7900,O028,Office and Premises,2004-01-05,SBR,,,,,,,,,,,Y,Y,
68236012,"12 Pellon Lane, Halifax, HX1 5SP",HX1 5SP,53.72417,-1.86436,,,6400,S167,Shop and Premises,2016-04-01,SBR,,,,,,,,,Y,,,Y,
68236032,"32 Pellon Lane, Halifax, HX1 5SP",HX1 5SP,53.72417,-1.86436,,,1025,S123,Store And Premises,2012-05-21,EX,,,,,Empty Property - RV < 15000,2012-11-21,,,,,,N,2012-11-21
68236059,"59 Pellon Lane, Halifax, HX1 5BE",HX1 5BE,53.72435,-1.86553,Rahman Ravelli Solicitors Ltd,"Fao Aziziue Rahman, 59 Pellon Lane, Halifax, HX1 5BE",31500,O027,Offices and Premises,2013-07-01,SBR,,,,,,,,,,,Y,Y,
68236125,"125 Pellon Lane, Halifax, HX1 5QN",HX1 5QN,53.72538,-1.87047,Charles Watson (Ironmongers) Ltd,,35500,W004,Warehouse And Premises,2000-08-29,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68236192,"192 Pellon Lane, Halifax, HX1 5RD",HX1 5RD,53.72729,-1.87522,Maries Hair Studio Ltd,,3650,H031,Hairdressing Salon and Premises,1990-07-13,SBR,,,,,,,,,Y,,,Y,
68236196,"196 Pellon Lane, Halifax, HX1 5RD",HX1 5RD,53.72729,-1.87522,,,2375,S167,Shop and Premises,2012-03-23,SBR,,,,,,,,,Y,,,Y,
68236198,"198 Pellon Lane, Halifax, HX1 5RG",HX1 5RG,53.7276,-1.87522,,,2150,S167,Shop and Premises,2011-04-01,SBR,,,,,,,,,Y,,,Y,
68236224,"224 Pellon Lane, Halifax, HX1 5RU",HX1 5RU,53.72795,-1.87807,,,4100,S167,Shop and Premises,1990-04-01,ER,,,,,,,Y,04/01/2011,,,,N,2011-04-01
68236226,"226 Pellon Lane, Halifax, HX1 5RU",HX1 5RU,53.72795,-1.87807,,,3700,S167,Shop and Premises,2016-02-01,SBR,,,,,,,,,Y,,,Y,
68236701,"Pellon Lane, Halifax, HX1 5QE",HX1 5QE,53.72543,-1.86632,C D S Superstores Ltd,"Tamar House, Thornbury Road, Plymouth, Devon, PL6 7PT",300000,R022,Retail Warehouse And Premises,2008-08-01,DRR,100,2020-04-01,,,,,,,,,,Y,
68236702,"Pellon Lane, Halifax, HX1 4QN",HX1 4QN,53.72634,-1.88902,Kwik Fit (Uk) Ltd,"F A O Rates Management, Lambert Smith Hampton, Interchange Place, Edmund Street, Birmingham, B3 3TA",35750,T035,Tyre And Exhaust Centre And Premises,1990-04-01,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68236703,"187 Pellon Lane, Halifax, HX1 5RL",HX1 5RL,53.72762,-1.87783,Cvs (Uk) Ltd,,23500,V008,Veterinary Surgery And Premises,2013-09-23,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68236707,"High Level Works, Pellon Lane, Halifax, HX1 4PZ",HX1 4PZ,53.7291,-1.88225,Viewstone Ltd,"Pellon Lane Saw Mills, Pellon Lane, Halifax, HX1 4PX",8100,W027,Workshop And Premises,2008-11-02,SBR,,,,,,,,,,,Y,Y,
68236711,"Osborne Street, Halifax, HX1 4PU",HX1 4PU,53.72771,-1.8815,James Chambers (Timber Merchants) Ltd,,7100,W004,Warehouse And Premises,2004-06-13,SBR,,,,,,,,,,,Y,Y,
68236716,"Pellon Lane Saw Mills, Pellon Lane, Halifax, HX1 4PX",HX1 4PX,53.72812,-1.88148,James Chambers (Timber Merchants) Ltd,"Pellon Lane Sawmills, Pellon Lane, Halifax, HX1 4PX",56500,F024,Factory and Premises,1990-04-01,DRR,100,2020-04-01,,,,,,,,,,Y,
68236718,"Pellon Tyre & Battery, Pellon Lane, Halifax, HX1 4PZ",HX1 4PZ,53.7291,-1.88225,Pellon Tyre & Autocentre Ltd,,19000,T035,Tyre And Exhaust Centre And Premises,1990-04-01,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68236726,"36 Pellon Lane, Halifax, HX1 5SP",HX1 5SP,53.72417,-1.86436,,,2850,S167,Shop and Premises,1999-08-01,SBR,,,,,,,,,Y,,,Y,
68236727,"Running Man Hotel, 84 Pellon Lane, Halifax, HX1 5QN",HX1 5QN,53.72538,-1.87047,,,4100,P056,Public House and Premises,2018-12-02,SBR,,,,,,,,,Y,,,Y,
68236729,"Security House, 248 Pellon Lane, Halifax, HX1 4PZ",HX1 4PZ,53.7291,-1.88225,,,8300,W027,Workshop And Premises,1990-04-01,SBR,,,,,,,,,Y,,,Y,
68236731,"Adj 300 Pellon Lane, Halifax, HX1 4PZ",HX1 4PZ,53.7291,-1.88225,,,6200,W004,Warehouse And Premises,2004-05-01,SBR,,,,,,,,,Y,,,Y,
68236737,"Unit 3, Greenmount Retail Park, Pellon Lane, Halifax             HX1 5QN",HX1 5QN,53.72538,-1.87047,Argos Ltd,"C/O Cbre Ltd, 55 Temple Row, Birmingham, B2 5LS",75500,R022,Retail Warehouse And Premises,2003-05-22,DRR,100,2020-04-01,,,,,,,,,,Y,
68236738,"Unit 1, Greenmount Retail Park, Pellon Lane, Halifax             HX1 5QN",HX1 5QN,53.72538,-1.87047,T J X U.K,"Expenses Payable Dept, P.O Box 2284, Watford, WD18 1JN",141000,R022,Retail Warehouse And Premises,2004-11-18,,,,,,,,,,,,,Y,
68236739,"Unit 2, Greenmount Retail Park, Pellon Lane, Halifax             HX1 5QN",HX1 5QN,53.72538,-1.87047,Sports Direct.Com Retail Ltd,"C/O C B R E, 55 Temple Row, Birmingham, B2 5LS",76000,R022,Retail Warehouse And Premises,2014-03-25,DRR,100,2020-04-01,,,,,,,,,,Y,
68236741,"Board No 0702-0040, Pellon Lane, Halifax, HX1 5SP",HX1 5SP,53.72417,-1.86436,Clear Channel (Uk) Ltd,"Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",450,A028,Advertising Right and Premises,2000-04-01,SBR,,,,,,,,,,,Y,Y,
68236742,"Board No 0702-0015, Pellon Lane, Halifax, HX1 5SP",HX1 5SP,53.72417,-1.86436,Clear Channel (Uk) Ltd,"Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",225,A028,Advertising Right and Premises,2000-04-01,SBR,,,,,,,,,,,Y,Y,
68236744,"Board No 2370, Pellon Lane, Halifax, HX1 5SP",HX1 5SP,53.72417,-1.86436,Jc Decaux Uk Ltd,"Rates Administrator, 27 Sale Place, London, W2 1YR",1175,A028,Advertising Right and Premises,1996-04-01,SBR,,,,,,,,,,,Y,Y,
68236746,"Unit 5 Crossley Retail Park, Pellon Lane, Halifax, HX1 5RA",HX1 5RA,53.72739,-1.87222,Iceland Foods Ltd,"Property Department, Second Avenue, Deeside Industrial Park, Deeside, CH5 2NW",83000,R022,Retail Warehouse And Premises,2012-10-09,DRR,100,2020-04-01,,,,,,,,,,Y,
68236747,"Unit 1 Crossley Retail Park, Pellon Lane, Halifax, HX1 5RA",HX1 5RA,53.72739,-1.87222,Aldi Stores Ltd,"Commercial Road, Goldthorpe, Rotherham, S63 9FA",102000,R022,Retail Warehouse And Premises,2003-09-08,DRR,100,2020-04-01,,,,,,,,,,Y,
68236748,"Unit 2 Crossley Retail Park, Pellon Lane, Halifax, HX1 5RA",HX1 5RA,53.72739,-1.87222,T.J Morris Ltd,"Axis Business Park, East Lancs Road, Gillmoss, Liverpool, Merseyside, L11 0JA",71500,R022,Retail Warehouse And Premises,2004-11-01,DRR,100,2020-04-01,,,,,,,,,,Y,
68236749,"Unit 3 Crossley Retail Park, Pellon Lane, Halifax, HX1 5RA",HX1 5RA,53.72739,-1.87222,Halfords Ltd,"Gerald Eve Llp, 35 Kings Hill Avenue, West Malling, Kent, ME19 4DN",76500,R022,Retail Warehouse And Premises,1995-08-25,DRR,100,2020-04-01,,,,,,,,,,Y,
68236750,"Unit 4 Crossley Retail Park, Pellon Lane, Halifax, HX1 5RA",HX1 5RA,53.72739,-1.87222,Pets At Home Ltd,"C/O Gl Hearn Management Ltd, Po Box 1821, Southampton, SO18 9NA",68500,R022,Retail Warehouse And Premises,1995-09-23,DRR,100,2020-04-01,,,,,,,,,,Y,
68236753,"Adj 36 Pellon Lane, Halifax, HX1 5SP",HX1 5SP,53.72417,-1.86436,Richard Craven (Kly) Ltd,"Units 2-3, Gresley Road Industrial Estate, Keighley, BD21 5JG",1225,A028,Advertising Right and Premises,2000-04-01,SBR,,,,,,,,,,,Y,Y,
68236756,"East Mount, 125 Pellon Lane, Halifax, HX1 5QN",HX1 5QN,53.72538,-1.87047,Frank Key Tool Hire Ltd,,36000,W004,Warehouse And Premises,2001-04-01,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68236761,"Unit 1 Halifax Retail Park, Pellon Lane, Halifax, HX1 5QP",HX1 5QP,53.72673,-1.87265,Carpetright Ltd,"Harris House, Purfleet Bypass, Purfleet, Essex, RM19 1TT",70000,R022,Retail Warehouse And Premises,2001-08-03,DRR,100,2020-04-01,,,,,,,,,,Y,
68236762,"Unit 2 Halifax Retail Park, Pellon Lane, Halifax, HX1 5QP",HX1 5QP,53.72673,-1.87265,British Heart Foundation,"Crown House, Church Road, Claygate Esher, Surrey, KT10 0BF",35250,R022,Retail Warehouse And Premises,2012-11-09,DRR MCR,100,2020-04-01,80,2012-11-09,,,,,,,,Y,
68236763,"Unit 3 Halifax Retail Park, Pellon Lane, Halifax, HX1 5DF",HX1 5DF,53.72482,-1.86808,Poundstretcher Ltd,"F A O Gerry Loughran, Desford Lane, Kirby Muxloe, Leicester, LE9 2BJ",116000,R022,Retail Warehouse And Premises,2013-08-20,DRR,100,2020-04-01,,,,,,,,,,Y,
68236765,"Pellon Lane, Halifax, HX1 5QE",HX1 5QE,53.72543,-1.86632,Dunelm (Soft Furnishings) Ltd,"C/O Gl Hearn Management Ltd, Po Box 1821, Southampton, SO18 9NA",150000,R022,Retail Warehouse And Premises,2012-09-10,DRR,100,2020-04-01,,,,,,,,,,Y,
68236767,"Lower Ground Floor, 55 Pellon Lane, Halifax, HX1 5SP",HX1 5SP,53.72417,-1.86436,Halifax Computers Ltd,"55 Pellon Lane, Halifax, HX1 5SP",18500,S062,Showroom And Premises,2005-09-01,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68236768,"Upper Ground Floor, 55 Pellon Lane, Halifax, HX1 5SP",HX1 5SP,53.72417,-1.86436,Spencer Wilson & Co Llp,"Equitable House, 55 Pellon Lane, Halifax, HX1 5SP",29250,O027,Offices and Premises,2008-05-01,SBR,,,,,,,,,,,Y,Y,
68236769,"Carpet Mill, Pellon Lane, Halifax, HX1 5SP",HX1 5SP,53.72417,-1.86436,Carpet And Slumbermill Ltd,,25500,S062,Showroom And Premises,2012-12-01,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68236775,"Unit 1, Pellon Lane Retail Park, Pellon Lane, Halifax              HX1 5HQ",HX1 5HQ,53.72639,-1.87257,Toolstation Ltd,"Fao Sadie McKenzie, Unit 2 Express Park, Bristol Road, Bridgwater, Somerset, TA6 4RN",23250,R022,Retail Warehouse And Premises,2014-01-13,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68236782,"Bus Shelter No. 17477, Adj 187 Pellon Lane, Halifax, HX1 5RL",HX1 5RL,53.72762,-1.87783,Clear Channel (Uk) Ltd,"Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",450,A028,Advertising Right and Premises,2010-04-01,SBR,,,,,,,,,,,Y,Y,
68236783,"Unit 5 Pellon Lane Retail Pk, Pellon Lane, Halifax, HX1 5HQ",HX1 5HQ,53.72639,-1.87257,James Hargreaves (Plumbers Merchants) Ltd,"Todmorden Road, Burnley, Lancs, BB11 3JT",21500,R022,Retail Warehouse And Premises,2010-05-01,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68236785,"Unit 4 Pellon Retail Park, Pellon Lane, Halifax, HX1 5HQ",HX1 5HQ,53.72639,-1.87257,Sue Ryder,"Property Payments, Kings House, King Street, Sudbury, Suffolk, CO10 2ED",31750,R022,Retail Warehouse And Premises,2015-02-28,DRR MCR,100,2020-04-01,80,2015-06-01,,,,,,,,Y,
68236786,"28 Pellon Lane, Halifax, HX1 5SP",HX1 5SP,53.72417,-1.86436,Haverley Properties Ltd,"Long Royd House, Long Royd Road, Triangle, HX6 1NX",2425,T005,Taxi Office And Premises,2014-08-08,EX,,,,,Empty Property - RV < 15000,2014-11-08,,,,,,N,2014-11-08
68236788,"High Level Works, Pellon Lane, Halifax, HX1 4PZ",HX1 4PZ,53.7291,-1.88225,,,940,L037,Land Used For Storage and Premises,2013-01-01,SBR,,,,,,,,,,,Y,Y,
68236790,"Unit 3 Pellon Lane Retail Pk, Pellon Lane, Halifax, HX1 5HQ",HX1 5HQ,53.72639,-1.87257,Farm Foods Ltd,"7 Greens Road, Blairinn, Cumbernauld, G67 2TU",36000,R022,Retail Warehouse And Premises,2013-11-01,SBR DRR,100,2020-04-01,,,,,,,,,Y,Y,
68236791,"Unit 2 Pellon Lane Retail Pk, Pellon Lane, Halifax, HX1 5HQ",HX1 5HQ,53.72639,-1.87257,Royal Mencap Society,"123 Golden Lane, London, EC1Y 0RT",17500,R022,Retail Warehouse And Premises,2017-08-25,DRR MCR,100,2020-04-01,80,2017-10-09,,,,,,,,Y,
68236792,"151 Pellon Lane, Halifax, HX1 5RL",HX1 5RL,53.72762,-1.87783,The Kay Group (Uk Holdings) Ltd,,80500,P004,Petrol Filling Station And Premises,2016-05-31,DRR,100,2020-04-01,,,,,,,,,,Y,
68236793,"Burrwood Garage, Pellon Lane, Halifax, HX1 4AA",HX1 4AA,53.72772,-1.87921,Burrwood Garage Ltd,"Pellon Lane, Halifax, HX1 4AA",14500,V004,Vehicle Repair Workshop And Premises,2015-11-06,DRR SBR,100,2020-04-01,,,,,,,,,Y,Y,
68236794,"Car Sales Site, 199 Pellon Lane, Halifax, HX1 5RL",HX1 5RL,53.72762,-1.87783,Ms Cars Halifax Ltd,"145 Highroad Well Lane, Halifax, HX2 0LA",6300,C111,Car Sales Site and Premises,2016-08-01,SBR,,,,,,,,,Y,,,Y,
68236795,"Car Sales Site, 199 Pellon Lane, Halifax, HX1 5RL",HX1 5RL,53.72762,-1.87783,,,8200,C111,Car Sales Site and Premises,2016-08-01,SBR,,,,,,,,,Y,,,Y,
68236796,"Works East Of, High Level Works, Pellon Lane, Halifax              HX1 4PZ",HX1 4PZ,53.7291,-1.88225,James Chambers (Timber Merchants) Ltd,"Pellon Lane Sawmills, Pellon Lane, Halifax, HX1 4PX",25000,W027,Workshop And Premises,2018-05-01,SBR,,,,,,,,,,,Y,Y,
